split,image,label,issue_codes,suspicious_lines,max_box_area
train,data/forklift_ground/train/images/JXFPTRHR122O_jpg.rf.fb740b64beffe092b6128cc778446cd4.jpg,data/forklift_ground/train/labels/JXFPTRHR122O_jpg.rf.fb740b64beffe092b6128cc778446cd4.txt,large_box,1,0.995339
train,data/forklift_ground/train/images/Q96MNGZFXK7V_jpg.rf.e4fc1dd4c037f86a303bf517fc077557.jpg,data/forklift_ground/train/labels/Q96MNGZFXK7V_jpg.rf.e4fc1dd4c037f86a303bf517fc077557.txt,large_box,1,0.995339
train,data/forklift_ground/train/images/TGXQXDIUNCIH_jpg.rf.33b5a9c671713b04a7d51e233533cff2.jpg,data/forklift_ground/train/labels/TGXQXDIUNCIH_jpg.rf.33b5a9c671713b04a7d51e233533cff2.txt,large_box,1,0.995339
val,data/forklift_ground/valid/images/09PU0D25HKOL_jpg.rf.026cd8b1f4d93b604da492fd6b962b82.jpg,data/forklift_ground/valid/labels/09PU0D25HKOL_jpg.rf.026cd8b1f4d93b604da492fd6b962b82.txt,large_box,2,0.995339
val,data/forklift_ground/valid/images/G25405S8CI7D_jpg.rf.74eb992dc782df072e7349a1ed14b982.jpg,data/forklift_ground/valid/labels/G25405S8CI7D_jpg.rf.74eb992dc782df072e7349a1ed14b982.txt,large_box,1,0.995332
train,data/forklift_ground/train/images/JDU110AVBREE_jpg.rf.905ec1141a44b8e429bb3b4068033f28.jpg,data/forklift_ground/train/labels/JDU110AVBREE_jpg.rf.905ec1141a44b8e429bb3b4068033f28.txt,large_box,2,0.995003
val,data/forklift_ground/valid/images/K21OT1049P5J_jpg.rf.420ad5c9cd17b4003fb13b258f2667c4.jpg,data/forklift_ground/valid/labels/K21OT1049P5J_jpg.rf.420ad5c9cd17b4003fb13b258f2667c4.txt,large_box,1,0.993344
val,data/forklift_ground/valid/images/XVMZ924NFFU3_jpg.rf.c0114293afed95548a723c447b8ccb06.jpg,data/forklift_ground/valid/labels/XVMZ924NFFU3_jpg.rf.c0114293afed95548a723c447b8ccb06.txt,large_box,1,0.992677
train,data/forklift_ground/train/images/A11BBYO93AJU_jpg.rf.711d9ff3a136f97ff61994824fcdc8d7.jpg,data/forklift_ground/train/labels/A11BBYO93AJU_jpg.rf.711d9ff3a136f97ff61994824fcdc8d7.txt,large_box,1,0.985842
train,data/forklift_ground/train/images/1V6ZQK9T48OP_jpg.rf.21793293c45f7581f34bc91bcc238417.jpg,data/forklift_ground/train/labels/1V6ZQK9T48OP_jpg.rf.21793293c45f7581f34bc91bcc238417.txt,large_box,1,0.984693
train,data/forklift_ground/train/images/1IME79QHGAPK_jpg.rf.e324b42fac3f11b1a8a3b18772339116.jpg,data/forklift_ground/train/labels/1IME79QHGAPK_jpg.rf.e324b42fac3f11b1a8a3b18772339116.txt,large_box,2,0.981524
train,data/forklift_ground/train/images/Y2XP2SL5FXFD_jpg.rf.b90df46c940ec280230dce94411513d7.jpg,data/forklift_ground/train/labels/Y2XP2SL5FXFD_jpg.rf.b90df46c940ec280230dce94411513d7.txt,large_box,1,0.979764
train,data/forklift_ground/train/images/2CFQA6UIS0S6_jpg.rf.4e04c1d2959b4b17e597178a34c30331.jpg,data/forklift_ground/train/labels/2CFQA6UIS0S6_jpg.rf.4e04c1d2959b4b17e597178a34c30331.txt,large_box,1,0.979412
test,data/forklift_ground/test/images/U5QKA9F6F7ZQ_jpg.rf.a2558cb35089850011302089d43b78e7.jpg,data/forklift_ground/test/labels/U5QKA9F6F7ZQ_jpg.rf.a2558cb35089850011302089d43b78e7.txt,large_box,1,0.974252
train,data/forklift_ground/train/images/5LX6AEYSTTOX_jpg.rf.4083dcba905759d5b8dd94746799ab46.jpg,data/forklift_ground/train/labels/5LX6AEYSTTOX_jpg.rf.4083dcba905759d5b8dd94746799ab46.txt,large_box,1,0.974048
train,data/forklift_ground/train/images/CT0EQTGAECMD_jpg.rf.4c33bbcc6e685cc7f55237adf3416c8a.jpg,data/forklift_ground/train/labels/CT0EQTGAECMD_jpg.rf.4c33bbcc6e685cc7f55237adf3416c8a.txt,large_box,2,0.968725
train,data/forklift_ground/train/images/CP48052GSNSS_jpg.rf.486be16fb043eb3d2d4674d78d475396.jpg,data/forklift_ground/train/labels/CP48052GSNSS_jpg.rf.486be16fb043eb3d2d4674d78d475396.txt,large_box,1,0.967413
train,data/forklift_ground/train/images/A5I41ONMH4X9_jpg.rf.ee9351a6b3fe98f3dfbaa427372a6447.jpg,data/forklift_ground/train/labels/A5I41ONMH4X9_jpg.rf.ee9351a6b3fe98f3dfbaa427372a6447.txt,large_box,1,0.964385
train,data/forklift_ground/train/images/Q4BPRQXQNGI5_jpg.rf.b80f6288bc9c41e96d2f2850484ba60b.jpg,data/forklift_ground/train/labels/Q4BPRQXQNGI5_jpg.rf.b80f6288bc9c41e96d2f2850484ba60b.txt,large_box,1,0.961429
train,data/forklift_ground/train/images/YTH1IVYI6136_jpg.rf.f9750e5f3b9c5bd08aa41d2863fa019d.jpg,data/forklift_ground/train/labels/YTH1IVYI6136_jpg.rf.f9750e5f3b9c5bd08aa41d2863fa019d.txt,large_box,4,0.957440
train,data/forklift_ground/train/images/MN8O0XOXWRAL_jpg.rf.604a4e15925a78b16f7e919eda0b44a6.jpg,data/forklift_ground/train/labels/MN8O0XOXWRAL_jpg.rf.604a4e15925a78b16f7e919eda0b44a6.txt,large_box,1,0.956988
train,data/forklift_ground/train/images/02I0NSL4O8BH_jpg.rf.f6cb90126d7e7c57821a81f4e9640d93.jpg,data/forklift_ground/train/labels/02I0NSL4O8BH_jpg.rf.f6cb90126d7e7c57821a81f4e9640d93.txt,large_box,2,0.955593
train,data/forklift_ground/train/images/7Y8VMEQ934RX_jpg.rf.852a56e0614e17b87202cd75d33f9407.jpg,data/forklift_ground/train/labels/7Y8VMEQ934RX_jpg.rf.852a56e0614e17b87202cd75d33f9407.txt,large_box,1,0.954361
train,data/forklift_ground/train/images/4ZD5D5B6YEND_jpg.rf.ceeff61d1c14ab9182d404f438143eb5.jpg,data/forklift_ground/train/labels/4ZD5D5B6YEND_jpg.rf.ceeff61d1c14ab9182d404f438143eb5.txt,large_box,1,0.952757
train,data/forklift_ground/train/images/538PJ11WP67J_jpg.rf.69d9d1a2fde868c3dc445d678a2754be.jpg,data/forklift_ground/train/labels/538PJ11WP67J_jpg.rf.69d9d1a2fde868c3dc445d678a2754be.txt,large_box,1,0.952695
train,data/forklift_ground/train/images/09B3JULPBRKM_jpg.rf.89a93e1632890a287ad635c6609edb96.jpg,data/forklift_ground/train/labels/09B3JULPBRKM_jpg.rf.89a93e1632890a287ad635c6609edb96.txt,large_box,1,0.951706
train,data/forklift_ground/train/images/159NHJ4X1O6C_jpg.rf.954d5b955560e457d0506ea17a16172a.jpg,data/forklift_ground/train/labels/159NHJ4X1O6C_jpg.rf.954d5b955560e457d0506ea17a16172a.txt,large_box,1,0.946027
train,data/forklift_ground/train/images/72HAX054J94Q_jpg.rf.3b6e0c5397fcdd602b28e0cedbf669fc.jpg,data/forklift_ground/train/labels/72HAX054J94Q_jpg.rf.3b6e0c5397fcdd602b28e0cedbf669fc.txt,large_box,1,0.943477
train,data/forklift_ground/train/images/IUHQCQKA445T_jpg.rf.980ab35fad656b7412826312eafb3079.jpg,data/forklift_ground/train/labels/IUHQCQKA445T_jpg.rf.980ab35fad656b7412826312eafb3079.txt,large_box,1,0.942323
train,data/forklift_ground/train/images/TA8S8MRA9CO6_jpg.rf.4a42ef7bf75612aacd86d4a92b422ba9.jpg,data/forklift_ground/train/labels/TA8S8MRA9CO6_jpg.rf.4a42ef7bf75612aacd86d4a92b422ba9.txt,large_box,1,0.942112
val,data/forklift_ground/valid/images/0VRAH2MNY02C_jpg.rf.aac1fd590472159d66b3b0fef3d156bd.jpg,data/forklift_ground/valid/labels/0VRAH2MNY02C_jpg.rf.aac1fd590472159d66b3b0fef3d156bd.txt,large_box,1,0.931467
val,data/forklift_ground/valid/images/6URLZIZIQ6S0_jpg.rf.9f197af83963e54d68cca6b895dfaaf6.jpg,data/forklift_ground/valid/labels/6URLZIZIQ6S0_jpg.rf.9f197af83963e54d68cca6b895dfaaf6.txt,large_box,1,0.927832
val,data/forklift_ground/valid/images/6PC927XW7M5J_jpg.rf.5fb3fbdc5378dac18f3a41cda12b09b9.jpg,data/forklift_ground/valid/labels/6PC927XW7M5J_jpg.rf.5fb3fbdc5378dac18f3a41cda12b09b9.txt,large_box,1,0.926925
test,data/forklift_ground/test/images/KM0YHF48BU6G_jpg.rf.8863536db00ab44e1ce54aafd03af8a5.jpg,data/forklift_ground/test/labels/KM0YHF48BU6G_jpg.rf.8863536db00ab44e1ce54aafd03af8a5.txt,large_box,2,0.926647
train,data/forklift_ground/train/images/0DBZCMRDL65L_jpg.rf.3e5e7e9e77817dad99448a621c3c9919.jpg,data/forklift_ground/train/labels/0DBZCMRDL65L_jpg.rf.3e5e7e9e77817dad99448a621c3c9919.txt,large_box,1,0.922092
train,data/forklift_ground/train/images/0PJKAIHB0TLE_jpg.rf.84a50be959cf4923b468d1ff29249caa.jpg,data/forklift_ground/train/labels/0PJKAIHB0TLE_jpg.rf.84a50be959cf4923b468d1ff29249caa.txt,large_box,1,0.921536
val,data/forklift_ground/valid/images/S7RNXN1YBLX4_jpg.rf.12188be22eede0c10d7859d380964b50.jpg,data/forklift_ground/valid/labels/S7RNXN1YBLX4_jpg.rf.12188be22eede0c10d7859d380964b50.txt,large_box,1,0.921536
train,data/forklift_ground/train/images/O0LGBOYUUI7J_jpg.rf.a20139a90fbcd2df8ea722dafc21cb85.jpg,data/forklift_ground/train/labels/O0LGBOYUUI7J_jpg.rf.a20139a90fbcd2df8ea722dafc21cb85.txt,large_box,2,0.919717
val,data/forklift_ground/valid/images/ZUXYC86T4YBG_jpg.rf.d6f32f7e3f964d747c8caefd33829a78.jpg,data/forklift_ground/valid/labels/ZUXYC86T4YBG_jpg.rf.d6f32f7e3f964d747c8caefd33829a78.txt,large_box,1,0.914040
train,data/forklift_ground/train/images/QT10A4SD4PBY_jpg.rf.b5b94bcad275ea62440e4d282642525c.jpg,data/forklift_ground/train/labels/QT10A4SD4PBY_jpg.rf.b5b94bcad275ea62440e4d282642525c.txt,large_box,1,0.909037
train,data/forklift_ground/train/images/D8Q5OLA7OB6D_jpg.rf.9cb97f83241a50aaa209cdc27d0ff9df.jpg,data/forklift_ground/train/labels/D8Q5OLA7OB6D_jpg.rf.9cb97f83241a50aaa209cdc27d0ff9df.txt,large_box,1,0.908803
train,data/forklift_ground/train/images/VO83XQZF8H1R_jpg.rf.94fb94fe9ec3f878ba9d7cb6b78832b5.jpg,data/forklift_ground/train/labels/VO83XQZF8H1R_jpg.rf.94fb94fe9ec3f878ba9d7cb6b78832b5.txt,large_box,1,0.908038
val,data/forklift_ground/valid/images/D2EEB99EJG99_jpg.rf.d12349504ec9c5f29622427f207bc6bc.jpg,data/forklift_ground/valid/labels/D2EEB99EJG99_jpg.rf.d12349504ec9c5f29622427f207bc6bc.txt,large_box,1,0.907125
train,data/forklift_ground/train/images/FL3QPQ46X92C_jpg.rf.21b2f013cfa425af3776436e2e6916a7.jpg,data/forklift_ground/train/labels/FL3QPQ46X92C_jpg.rf.21b2f013cfa425af3776436e2e6916a7.txt,large_box,1,0.900719
train,data/forklift_ground/train/images/NU2QXBMCMT62_jpg.rf.b285f946bd27d7f0a44004118d34fed2.jpg,data/forklift_ground/train/labels/NU2QXBMCMT62_jpg.rf.b285f946bd27d7f0a44004118d34fed2.txt,large_box,1,0.896470
train,data/forklift_ground/train/images/MW7788LHNP9N_jpg.rf.23253aea4cba94ede251f4f58970d6a3.jpg,data/forklift_ground/train/labels/MW7788LHNP9N_jpg.rf.23253aea4cba94ede251f4f58970d6a3.txt,large_box,1,0.896308
train,data/forklift_ground/train/images/E8JGRHSLXB8M_jpg.rf.8b799e45447727c517592ca9490b9dba.jpg,data/forklift_ground/train/labels/E8JGRHSLXB8M_jpg.rf.8b799e45447727c517592ca9490b9dba.txt,large_box,1,0.893996
train,data/forklift_ground/train/images/S6A3DS0KYLLO_jpg.rf.b8c8ee1aeec5782f8c42d953eccbc01b.jpg,data/forklift_ground/train/labels/S6A3DS0KYLLO_jpg.rf.b8c8ee1aeec5782f8c42d953eccbc01b.txt,large_box,2,0.893611
train,data/forklift_ground/train/images/836G7KZ7KH4P_jpg.rf.3240588d0e7abf46cd6fcdaadf8d0392.jpg,data/forklift_ground/train/labels/836G7KZ7KH4P_jpg.rf.3240588d0e7abf46cd6fcdaadf8d0392.txt,large_box,1,0.885652
val,data/forklift_ground/valid/images/LTDX8N8ZKBT2_jpg.rf.c61d24ceb2039a25fb5c7f9d6c17209e.jpg,data/forklift_ground/valid/labels/LTDX8N8ZKBT2_jpg.rf.c61d24ceb2039a25fb5c7f9d6c17209e.txt,large_box,1,0.881696
train,data/forklift_ground/train/images/8H6PR7AKW29O_jpg.rf.b7250536e66d11349b65cbbfc35591e2.jpg,data/forklift_ground/train/labels/8H6PR7AKW29O_jpg.rf.b7250536e66d11349b65cbbfc35591e2.txt,large_box,1,0.881643
val,data/forklift_ground/valid/images/WG7RZFMOEOMD_jpg.rf.23a2a76e09a620df8e824670907dbad5.jpg,data/forklift_ground/valid/labels/WG7RZFMOEOMD_jpg.rf.23a2a76e09a620df8e824670907dbad5.txt,large_box,1,0.881643
train,data/forklift_ground/train/images/P84CZ2MLASEZ_jpg.rf.8bd4c3c0bf95a50fe8240efb0c79d575.jpg,data/forklift_ground/train/labels/P84CZ2MLASEZ_jpg.rf.8bd4c3c0bf95a50fe8240efb0c79d575.txt,large_box,2,0.879374
train,data/forklift_ground/train/images/86CPNVRFXWD6_jpg.rf.6fe350a780b38720e2d02761cd2b4a10.jpg,data/forklift_ground/train/labels/86CPNVRFXWD6_jpg.rf.6fe350a780b38720e2d02761cd2b4a10.txt,large_box,2,0.878592
val,data/forklift_ground/valid/images/KSMNQ3RHUAOC_jpg.rf.0511381142dffa2dd5f2ffe02f9ebdd2.jpg,data/forklift_ground/valid/labels/KSMNQ3RHUAOC_jpg.rf.0511381142dffa2dd5f2ffe02f9ebdd2.txt,large_box,1,0.877848
train,data/forklift_ground/train/images/YZQKBUBHA9E9_jpg.rf.fcd177de24df45c92b54b543b71495f4.jpg,data/forklift_ground/train/labels/YZQKBUBHA9E9_jpg.rf.fcd177de24df45c92b54b543b71495f4.txt,large_box,2,0.877653
train,data/forklift_ground/train/images/NDIZ6V6VRZG6_jpg.rf.60fb075760ad81f7c0685774731fd46f.jpg,data/forklift_ground/train/labels/NDIZ6V6VRZG6_jpg.rf.60fb075760ad81f7c0685774731fd46f.txt,large_box,1,0.875733
test,data/forklift_ground/test/images/8AOVQHJCB7PN_jpg.rf.3cb11d4f3e8ff1d5e192168f1f141834.jpg,data/forklift_ground/test/labels/8AOVQHJCB7PN_jpg.rf.3cb11d4f3e8ff1d5e192168f1f141834.txt,large_box,1,0.872688
val,data/forklift_ground/valid/images/LO17PCAEHOJ8_jpg.rf.1c98c4bdc4a319db557396bcb42fd897.jpg,data/forklift_ground/valid/labels/LO17PCAEHOJ8_jpg.rf.1c98c4bdc4a319db557396bcb42fd897.txt,large_box,1,0.872028
train,data/forklift_ground/train/images/NVL8YR7VSQ04_jpg.rf.77d99ea0f60756a5535daaadaf8c4412.jpg,data/forklift_ground/train/labels/NVL8YR7VSQ04_jpg.rf.77d99ea0f60756a5535daaadaf8c4412.txt,large_box,2,0.871291
train,data/forklift_ground/train/images/VL70S53JI8ZM_jpg.rf.54720df8f82cfa23bc5e62d7d06f2dba.jpg,data/forklift_ground/train/labels/VL70S53JI8ZM_jpg.rf.54720df8f82cfa23bc5e62d7d06f2dba.txt,large_box,7,0.870480
train,data/forklift_ground/train/images/Y3CQCAW80H94_jpg.rf.72c4c6891918aca26b3ec912f8759ee7.jpg,data/forklift_ground/train/labels/Y3CQCAW80H94_jpg.rf.72c4c6891918aca26b3ec912f8759ee7.txt,large_box,1,0.870256
train,data/forklift_ground/train/images/DTL2QW4REEMH_jpg.rf.a20cee9c95048006b9ba8da3fbee543a.jpg,data/forklift_ground/train/labels/DTL2QW4REEMH_jpg.rf.a20cee9c95048006b9ba8da3fbee543a.txt,large_box,1,0.869120
train,data/forklift_ground/train/images/CU8C39JDIJ9X_jpg.rf.74dbef773a124e139719f6d02bb324fd.jpg,data/forklift_ground/train/labels/CU8C39JDIJ9X_jpg.rf.74dbef773a124e139719f6d02bb324fd.txt,large_box,1,0.868992
train,data/forklift_ground/train/images/RXPYYD9ZW5KH_jpg.rf.75a0a76430ba3dd35bb7214e5c59d74a.jpg,data/forklift_ground/train/labels/RXPYYD9ZW5KH_jpg.rf.75a0a76430ba3dd35bb7214e5c59d74a.txt,large_box,2,0.867328
train,data/forklift_ground/train/images/O8OEYK11CI5G_jpg.rf.24f3d20a494f5c27a157754162c5b601.jpg,data/forklift_ground/train/labels/O8OEYK11CI5G_jpg.rf.24f3d20a494f5c27a157754162c5b601.txt,large_box,1,0.856427
train,data/forklift_ground/train/images/3QGVJAU50BJJ_jpg.rf.2cc309eb0768293be45c04f55f65eab9.jpg,data/forklift_ground/train/labels/3QGVJAU50BJJ_jpg.rf.2cc309eb0768293be45c04f55f65eab9.txt,large_box,1,0.855712
train,data/forklift_ground/train/images/08R9ND0N8GXW_jpg.rf.f27d4618f2305a8c81570884449e357d.jpg,data/forklift_ground/train/labels/08R9ND0N8GXW_jpg.rf.f27d4618f2305a8c81570884449e357d.txt,large_box,2,0.855033
train,data/forklift_ground/train/images/2P8CF1G4CVSU_jpg.rf.e624348e71e0250e89326c0fc84a73f0.jpg,data/forklift_ground/train/labels/2P8CF1G4CVSU_jpg.rf.e624348e71e0250e89326c0fc84a73f0.txt,large_box,1,0.854536
train,data/forklift_ground/train/images/I01WFPT9SHJQ_jpg.rf.7f0771511b056b374c108d3ea7188211.jpg,data/forklift_ground/train/labels/I01WFPT9SHJQ_jpg.rf.7f0771511b056b374c108d3ea7188211.txt,large_box,1,0.853917
train,data/forklift_ground/train/images/K68OOWL2DK7Z_jpg.rf.58b998ee756d16cd5d903011a5ed580c.jpg,data/forklift_ground/train/labels/K68OOWL2DK7Z_jpg.rf.58b998ee756d16cd5d903011a5ed580c.txt,large_box,1,0.853376
train,data/forklift_ground/train/images/LM324M9ASGHY_jpg.rf.b52fbd44f520c5113bff0845c46b48b6.jpg,data/forklift_ground/train/labels/LM324M9ASGHY_jpg.rf.b52fbd44f520c5113bff0845c46b48b6.txt,large_box,1,0.849728
train,data/forklift_ground/train/images/7B57Z09MAMWO_jpg.rf.db864eca2115dc0dcc9889250cb80088.jpg,data/forklift_ground/train/labels/7B57Z09MAMWO_jpg.rf.db864eca2115dc0dcc9889250cb80088.txt,large_box,2,0.846869
val,data/forklift_ground/valid/images/I91P1I5WNUZT_jpg.rf.7aa61a174b3f3bd919814ae0f200ba72.jpg,data/forklift_ground/valid/labels/I91P1I5WNUZT_jpg.rf.7aa61a174b3f3bd919814ae0f200ba72.txt,large_box,1,0.844433
train,data/forklift_ground/train/images/ZMGPHSMTZU0W_jpg.rf.1d544652813e88eba992a02138e4cda3.jpg,data/forklift_ground/train/labels/ZMGPHSMTZU0W_jpg.rf.1d544652813e88eba992a02138e4cda3.txt,large_box,2,0.842182
test,data/forklift_ground/test/images/8ZWINJUW7HMW_jpg.rf.3156443d402d16858d7103cbbb2f3326.jpg,data/forklift_ground/test/labels/8ZWINJUW7HMW_jpg.rf.3156443d402d16858d7103cbbb2f3326.txt,large_box,2,0.841749
train,data/forklift_ground/train/images/Y3VTQRM6PQOD_jpg.rf.45778d46977868879a8addd25d8d0539.jpg,data/forklift_ground/train/labels/Y3VTQRM6PQOD_jpg.rf.45778d46977868879a8addd25d8d0539.txt,large_box,1,0.841131
test,data/forklift_ground/test/images/KRGVTZUAU9JY_jpg.rf.7853ba746bca91221503aa5b1f1bcb57.jpg,data/forklift_ground/test/labels/KRGVTZUAU9JY_jpg.rf.7853ba746bca91221503aa5b1f1bcb57.txt,large_box,1,0.838646
val,data/forklift_ground/valid/images/BSMT1XOO121P_jpg.rf.e055f3658535d98ef6faf5bd2887e8c2.jpg,data/forklift_ground/valid/labels/BSMT1XOO121P_jpg.rf.e055f3658535d98ef6faf5bd2887e8c2.txt,large_box,1,0.837782
train,data/forklift_ground/train/images/KDUZLTHRYNK4_jpg.rf.9cc726392ac3bafe81481396957d9305.jpg,data/forklift_ground/train/labels/KDUZLTHRYNK4_jpg.rf.9cc726392ac3bafe81481396957d9305.txt,large_box,1,0.837557
train,data/forklift_ground/train/images/X7LY4HTFT2XE_jpg.rf.e7ddf21788b143284956cdda04d71afb.jpg,data/forklift_ground/train/labels/X7LY4HTFT2XE_jpg.rf.e7ddf21788b143284956cdda04d71afb.txt,large_box,1,0.834199
test,data/forklift_ground/test/images/6OV3JZN7K67E_jpg.rf.7d38acc82c769e20f8d644ca98c3e7ca.jpg,data/forklift_ground/test/labels/6OV3JZN7K67E_jpg.rf.7d38acc82c769e20f8d644ca98c3e7ca.txt,large_box,3,0.833005
train,data/forklift_ground/train/images/WN3IK0S4ULLL_jpg.rf.7815998daf905fe563ab837cbd4cad5d.jpg,data/forklift_ground/train/labels/WN3IK0S4ULLL_jpg.rf.7815998daf905fe563ab837cbd4cad5d.txt,large_box,1,0.831296
train,data/forklift_ground/train/images/LBU741FZX1OZ_jpg.rf.a0b3bff090284ae6d23a78ea4fbd5f94.jpg,data/forklift_ground/train/labels/LBU741FZX1OZ_jpg.rf.a0b3bff090284ae6d23a78ea4fbd5f94.txt,large_box,1,0.830849
train,data/forklift_ground/train/images/4PUI1WUNR9BV_jpg.rf.2ea2a938d9fc353147bc273dd55c8f60.jpg,data/forklift_ground/train/labels/4PUI1WUNR9BV_jpg.rf.2ea2a938d9fc353147bc273dd55c8f60.txt,large_box,1,0.828018
train,data/forklift_ground/train/images/QHC4SD50LRK2_jpg.rf.454273fd853bb319d61140e46b679c8c.jpg,data/forklift_ground/train/labels/QHC4SD50LRK2_jpg.rf.454273fd853bb319d61140e46b679c8c.txt,large_box,1,0.827669
train,data/forklift_ground/train/images/T4QKVO0XTP0Q_jpg.rf.cfea63f515c15b90c2bcffd87c261798.jpg,data/forklift_ground/train/labels/T4QKVO0XTP0Q_jpg.rf.cfea63f515c15b90c2bcffd87c261798.txt,large_box,1,0.825000
train,data/forklift_ground/train/images/YF1N3QSY4MUB_jpg.rf.a9f382ebee392773dcb91220e4b4ec93.jpg,data/forklift_ground/train/labels/YF1N3QSY4MUB_jpg.rf.a9f382ebee392773dcb91220e4b4ec93.txt,large_box,2,0.821583
test,data/forklift_ground/test/images/O42VA4AO4SER_jpg.rf.0d786fb65d6afe26628a590d1a45373d.jpg,data/forklift_ground/test/labels/O42VA4AO4SER_jpg.rf.0d786fb65d6afe26628a590d1a45373d.txt,large_box,1,0.819214
train,data/forklift_ground/train/images/4YADSLP6QWWA_jpg.rf.3acd5e100493e859f12ae1b06112e759.jpg,data/forklift_ground/train/labels/4YADSLP6QWWA_jpg.rf.3acd5e100493e859f12ae1b06112e759.txt,large_box,1,0.818576
train,data/forklift_ground/train/images/GGHN7T2R5XQG_jpg.rf.106fd909fff4f781a9874043cbc51dfb.jpg,data/forklift_ground/train/labels/GGHN7T2R5XQG_jpg.rf.106fd909fff4f781a9874043cbc51dfb.txt,large_box,1,0.815819
train,data/forklift_ground/train/images/TF2ZYE7IQENS_jpg.rf.f7455759db5558796340e73ca70475b6.jpg,data/forklift_ground/train/labels/TF2ZYE7IQENS_jpg.rf.f7455759db5558796340e73ca70475b6.txt,large_box,1,0.814805
train,data/forklift_ground/train/images/0VE1OCAVLKMX_jpg.rf.85cf9efb905526fb8a83ff85b52843cb.jpg,data/forklift_ground/train/labels/0VE1OCAVLKMX_jpg.rf.85cf9efb905526fb8a83ff85b52843cb.txt,large_box,1,0.813791
train,data/forklift_ground/train/images/9DUC3W8KLTSX_jpg.rf.f3804fe69f05e6952bdb5a8971070ef0.jpg,data/forklift_ground/train/labels/9DUC3W8KLTSX_jpg.rf.f3804fe69f05e6952bdb5a8971070ef0.txt,large_box,2,0.811829
train,data/forklift_ground/train/images/P4I54EOIJE0U_jpg.rf.810422b9b3137297eda03eb173e360cc.jpg,data/forklift_ground/train/labels/P4I54EOIJE0U_jpg.rf.810422b9b3137297eda03eb173e360cc.txt,large_box,1,0.809449
train,data/forklift_ground/train/images/RLBUPVCF7IK5_jpg.rf.d70b5c0344b84f28fcf9763625504f23.jpg,data/forklift_ground/train/labels/RLBUPVCF7IK5_jpg.rf.d70b5c0344b84f28fcf9763625504f23.txt,large_box,1,0.809229
train,data/forklift_ground/train/images/IJHSGANAXSD6_jpg.rf.d0836592464262521d22b47b82b6bd8f.jpg,data/forklift_ground/train/labels/IJHSGANAXSD6_jpg.rf.d0836592464262521d22b47b82b6bd8f.txt,large_box,1,0.808845
